Wed Jun 09 19:27:35 2021

21.06.02-03_008.top image. S02

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 70.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (14.8,6.5)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
   199.7     2.180    3.308    1.916    1.115    1.999    1.247    3.557    1.248    0.905    1.148   45.753   45.741   45.743   45.742   45.749   45.748   45.740   45.744   45.745   45.751  
   205.6     2.264    3.649    2.437    1.191    2.124    1.350    3.856    1.394    0.963    1.170   45.753   45.746   45.746   45.742   45.750   45.747   45.741   45.747   45.747   45.750  
   211.6     2.391    3.999    2.450    1.283    2.415    1.483    3.683    1.481    0.977    1.219   45.751   45.745   45.744   45.743   45.749   45.747   45.739   45.742   45.746   45.748  
   217.6     2.285    4.035    2.701    1.384    2.425    1.344    3.850    1.446    1.006    1.182   45.754   45.743   45.745   45.742   45.751   45.748   45.741   45.744   45.746   45.750  
   223.6     2.504    4.583    2.599    1.541    2.569    1.457    4.461    1.301    0.980    1.267   45.751   45.748   45.745   45.742   45.752   45.748   45.744   45.742   45.746   45.749  
   229.6     2.329    4.778    2.566    1.711    2.483    1.466    4.967    1.394    1.055    1.247   45.750   45.751   45.743   45.748   45.752   45.749   45.748   45.745   45.748   45.750  
   235.5     2.434    4.944    2.657    1.814    2.764    1.485    4.942    1.423    1.197    1.294   45.749   45.747   45.744   45.746   45.750   45.749   45.744   45.744   45.749   45.750  
   241.5     2.448    4.846    2.816    1.922    2.650    1.711    5.374    1.414    1.283    1.348   45.748   45.749   45.745   45.745   45.752   45.750   45.747   45.743   45.748   45.751  
   247.5     2.458    5.045    3.106    1.970    2.680    1.669    5.661    1.649    1.436    1.503   45.752   45.750   45.745   45.747   45.753   45.750   45.747   45.746   45.748   45.752  
   253.5     2.709    5.255    3.488    2.055    2.660    1.865    6.232    1.778    1.467    1.478   45.746   45.743   45.741   45.745   45.751   45.749   45.740   45.742   45.744   45.749  
   259.5     2.642    5.854    3.403    2.059    2.773    1.967    6.330    1.862    1.629    1.524   45.749   45.743   45.743   45.747   45.747   45.749   45.742   45.744   45.745   45.751  
