Wed Jun 09 19:00:57 2021

21.06.02-03_007.top image. S05

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): 50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (8.3,9.9)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
  -153.2    -0.170   -0.165   -0.183   -0.388   -0.456   -0.025   -0.031   -0.025   -0.055   -0.061   45.745   45.757   45.751   45.742   45.745   45.753   45.749   45.745   45.746   45.751  
  -147.2    -0.163   -0.177   -0.173   -0.335   -0.467   -0.025   -0.029   -0.024   -0.054   -0.054   45.742   45.759   45.749   45.743   45.746   45.752   45.749   45.746   45.743   45.754  
  -141.2    -0.156   -0.155   -0.165   -0.304   -0.484   -0.026   -0.028   -0.024   -0.053   -0.052   45.742   45.758   45.750   45.741   45.747   45.751   45.753   45.748   45.746   45.750  
  -135.2    -0.146   -0.133   -0.151   -0.312   -0.334   -0.024   -0.030   -0.023   -0.052   -0.050   45.744   45.757   45.751   45.742   45.748   45.752   45.754   45.751   45.746   45.752  
  -129.2    -0.135   -0.133   -0.141   -0.294   -0.319   -0.024   -0.029   -0.024   -0.050   -0.048   45.741   45.753   45.749   45.740   45.747   45.752   45.749   45.746   45.744   45.750  
  -123.3    -0.113   -0.115   -0.130   -0.257   -0.271   -0.023   -0.030   -0.022   -0.045   -0.046   45.745   45.756   45.750   45.739   45.748   45.752   45.751   45.748   45.746   45.752  
  -117.3    -0.114   -0.102   -0.123   -0.229   -0.257   -0.021   -0.030   -0.022   -0.048   -0.045   45.749   45.758   45.750   45.743   45.750   45.753   45.752   45.747   45.748   45.750  
  -111.3    -0.106   -0.105   -0.123   -0.218   -0.252   -0.021   -0.031   -0.021   -0.044   -0.045   45.751   45.757   45.751   45.747   45.751   45.757   45.755   45.751   45.749   45.754  
  -105.3    -0.099   -0.098   -0.114   -0.197   -0.217   -0.020   -0.029   -0.022   -0.042   -0.047   45.752   45.757   45.753   45.745   45.754   45.757   45.754   45.749   45.749   45.755  
   -99.3    -0.094   -0.089   -0.106   -0.184   -0.184   -0.019   -0.028   -0.022   -0.041   -0.044   45.753   45.761   45.753   45.746   45.752   45.758   45.757   45.753   45.749   45.755  
   -93.4    -0.084   -0.082   -0.097   -0.156   -0.180   -0.019   -0.028   -0.021   -0.039   -0.045   45.751   45.763   45.752   45.745   45.754   45.758   45.758   45.753   45.750   45.754  
   -87.4    -0.078   -0.076   -0.084   -0.148   -0.160   -0.018   -0.025   -0.021   -0.039   -0.042   45.747   45.757   45.749   45.743   45.750   45.754   45.755   45.746   45.746   45.751  
   -81.4    -0.071   -0.065   -0.077   -0.140   -0.148   -0.018   -0.024   -0.021   -0.034   -0.039   45.747   45.757   45.747   45.740   45.750   45.753   45.754   45.746   45.746   45.752  
   -75.4    -0.063   -0.065   -0.071   -0.136   -0.130   -0.017   -0.024   -0.020   -0.030   -0.036   45.747   45.759   45.748   45.742   45.748   45.753   45.752   45.745   45.747   45.751  
   -69.4    -0.059   -0.062   -0.067   -0.120   -0.112   -0.017   -0.022   -0.019   -0.029   -0.037   45.747   45.760   45.750   45.746   45.752   45.754   45.755   45.751   45.748   45.753  
   -63.5    -0.054   -0.057   -0.063   -0.107   -0.107   -0.017   -0.021   -0.019   -0.026   -0.037   45.748   45.761   45.749   45.743   45.748   45.755   45.754   45.753   45.747   45.750  
   -57.5    -0.050   -0.052   -0.053   -0.100   -0.097   -0.017   -0.021   -0.019   -0.026   -0.037   45.750   45.762   45.749   45.745   45.750   45.757   45.754   45.752   45.750   45.752  
   -51.5    -0.046   -0.046   -0.049   -0.100   -0.090   -0.016   -0.020   -0.018   -0.025   -0.032   45.749   45.761   45.750   45.747   45.750   45.757   45.755   45.754   45.750   45.753  
   -45.5    -0.040   -0.044   -0.045   -0.084   -0.072   -0.016   -0.019   -0.018   -0.025   -0.031   45.749   45.757   45.750   45.747   45.750   45.755   45.753   45.752   45.752   45.752  
   -39.5    -0.034   -0.037   -0.039   -0.063   -0.064   -0.015   -0.018   -0.017   -0.021   -0.028   45.748   45.760   45.749   45.749   45.752   45.756   45.754   45.752   45.754   45.754  
   -33.6    -0.030   -0.034   -0.035   -0.056   -0.054   -0.015   -0.016   -0.016   -0.020   -0.027   45.749   45.760   45.749   45.751   45.753   45.753   45.758   45.749   45.754   45.756  
   -27.6    -0.028   -0.031   -0.028   -0.050   -0.046   -0.015   -0.016   -0.015   -0.019   -0.024   45.751   45.760   45.752   45.751   45.753   45.756   45.758   45.751   45.756   45.756  
   -21.6    -0.024   -0.025   -0.023   -0.039   -0.036   -0.015   -0.015   -0.015   -0.019   -0.021   45.752   45.761   45.751   45.750   45.754   45.756   45.756   45.751   45.755   45.757  
   -15.6    -0.020   -0.020   -0.021   -0.030   -0.030   -0.014   -0.014   -0.014   -0.017   -0.018   45.757   45.764   45.751   45.752   45.755   45.757   45.759   45.753   45.754   45.759  
    -9.6    -0.016   -0.016   -0.017   -0.020   -0.021   -0.014   -0.014   -0.013   -0.015   -0.016   45.756   45.764   45.752   45.751   45.758   45.755   45.760   45.753   45.751   45.757  
    -3.7    -0.013   -0.012   -0.012   -0.013   -0.013   -0.013   -0.013   -0.013   -0.013   -0.013   45.751   45.754   45.747   45.746   45.752   45.749   45.753   45.748   45.747   45.752  
     2.3    -0.010   -0.009   -0.009   -0.007   -0.003   -0.013   -0.013   -0.013   -0.011   -0.011   45.743   45.750   45.740   45.738   45.741   45.745   45.748   45.740   45.741   45.747  
     8.3    -0.006   -0.006   -0.005    0.002    0.007   -0.013   -0.012   -0.013   -0.008   -0.008   45.740   45.750   45.738   45.732   45.733   45.747   45.748   45.742   45.742   45.744  
    14.3    -0.002   -0.003   -0.001    0.008    0.017   -0.012   -0.011   -0.012   -0.005   -0.005   45.737   45.747   45.738   45.732   45.730   45.749   45.746   45.742   45.741   45.747  
    20.3     0.001    0.002    0.004    0.016    0.022   -0.012   -0.010   -0.012   -0.005   -0.002   45.734   45.740   45.731   45.728   45.729   45.746   45.747   45.741   45.741   45.743  
    26.2     0.005    0.005    0.007    0.025    0.032   -0.012   -0.009   -0.011   -0.002    0.001   45.732   45.741   45.729   45.730   45.731   45.747   45.747   45.740   45.739   45.741  
