Wed Jun 09 18:45:24 2021

21.06.02-03_007.top image. S03

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -150; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (11.8,10.9)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
   -21.6    -0.109   -0.039   -0.087   -0.145   -0.165   -0.028   -0.016   -0.022   -0.021   -0.025   45.759   45.762   45.764   45.751   45.757   45.761   45.766   45.767   45.757   45.764  
   -15.6    -0.076   -0.029   -0.061   -0.079   -0.111   -0.021   -0.015   -0.018   -0.018   -0.021   45.762   45.763   45.769   45.753   45.756   45.760   45.768   45.768   45.757   45.766  
    -9.6    -0.047   -0.021   -0.034   -0.040   -0.055   -0.016   -0.014   -0.015   -0.016   -0.017   45.764   45.763   45.768   45.753   45.760   45.763   45.767   45.763   45.758   45.770  
    -3.7    -0.014   -0.012   -0.012    0.001   -0.014   -0.011   -0.013   -0.013   -0.013   -0.013   45.757   45.760   45.761   45.743   45.755   45.752   45.760   45.758   45.756   45.766  
     2.3     0.024   -0.004    0.008    0.041    0.023   -0.006   -0.012   -0.010   -0.011   -0.009   45.735   45.748   45.742   45.732   45.734   45.747   45.754   45.753   45.747   45.755  
     8.3     0.051    0.004    0.033    0.081    0.066   -0.000   -0.011   -0.006   -0.007   -0.005   45.736   45.742   45.740   45.732   45.737   45.742   45.755   45.753   45.746   45.747  
    14.3     0.083    0.013    0.057    0.117    0.091    0.004   -0.009   -0.002   -0.004   -0.001   45.735   45.736   45.741   45.735   45.737   45.741   45.754   45.754   45.747   45.743  
    20.3     0.124    0.020    0.076    0.159    0.117    0.010   -0.008    0.002   -0.000    0.004   45.736   45.736   45.738   45.732   45.736   45.737   45.754   45.746   45.741   45.738  
    26.2     0.161    0.031    0.096    0.188    0.137    0.018   -0.005    0.005    0.005    0.011   45.737   45.739   45.741   45.733   45.739   45.736   45.755   45.748   45.738   45.735  
    32.2     0.185    0.040    0.115    0.219    0.172    0.026   -0.004    0.010    0.010    0.017   45.738   45.739   45.743   45.731   45.736   45.736   45.753   45.746   45.736   45.733  
